category,sku_tier,weight_oz,supplier_tier,region,quantity,moq,lead_time_days,days_since_last_buy,last_unit_price,supplier_ask,fair_unit_price
hoodie,mid,8.5,budget,CN,588,58,15,66,16.3,17.14,16.22
hoodie,basic,7.0,standard,US,79,12,41,228,14.01,16.87,13.65
hoodie,basic,7.0,premium,US,1454,195,24,93,14.34,16.25,14.35
hoodie,basic,7.0,budget,MX,113,22,41,77,11.06,13.03,11.07
hoodie,mid,8.5,standard,US,1789,200,19,49,19.22,22.08,20.01
hoodie,basic,7.0,budget,CN,1326,200,17,203,10.74,12.55,10.36
hoodie,mid,8.5,budget,CN,1325,111,22,97,16.29,17.25,15.67
hoodie,basic,7.0,standard,CN,139,13,9,175,12.11,15.91,12.63
hoodie,mid,8.5,standard,CN,460,83,32,343,18.55,20.13,18.13
hoodie,mid,8.5,premium,CN,842,103,15,274,21.35,25.42,20.37
hoodie,basic,7.0,budget,CN,1418,190,11,211,11.25,13.04,10.45
hoodie,basic,7.0,standard,US,1421,200,24,342,12.63,13.88,12.78
hoodie,basic,7.0,standard,CN,1498,153,39,105,12.58,13.85,11.87
hoodie,basic,7.0,standard,CN,355,56,40,14,12.29,13.05,12.13
hoodie,basic,7.0,premium,MX,1677,186,10,137,13.25,13.94,13.08
hoodie,mid,8.5,standard,US,287,52,42,98,22.37,24.14,21.04
hoodie,basic,7.0,standard,MX,1519,200,26,218,11.61,12.3,11.41
hoodie,basic,7.0,standard,US,1229,197,44,126,13.17,13.44,12.64
hoodie,basic,7.0,budget,CN,701,44,22,156,11.01,12.13,10.27
hoodie,mid,8.5,standard,CN,1678,200,13,63,17.66,20.29,17.73
hoodie,premium,10.0,budget,CN,1363,200,13,45,21.48,23.92,21.87
hoodie,basic,7.0,standard,CN,595,84,11,240,12.77,12.9,12.03
hoodie,mid,8.5,standard,CN,55,13,22,99,18.45,18.81,17.29
hoodie,basic,7.0,standard,CN,1922,200,36,160,12.23,14.55,11.38
hoodie,mid,8.5,standard,CN,342,30,20,43,16.2,20.04,16.92
hoodie,mid,8.5,premium,MX,347,21,39,55,20.27,22.53,21.14
hoodie,premium,10.0,standard,CN,1953,200,22,310,25.27,28.82,24.63
hoodie,premium,10.0,budget,US,1491,168,23,216,26.4,29.49,25.53
hoodie,premium,10.0,premium,US,44,12,43,65,38.63,45.17,36.06
